Proposal ID,Snapshot ID,Author,Title,Status,Started,Ended,Threshold,Total VP,Category,Tier,Amount USD,Beneficiary,Token,Vesting Contract,Vesting Released Amount,Vesting Releasable Amount,Vesting Token Contract Balance,Vesting Total Amount,Vesting Start At,Vesting Finish At,Enacting Transaction,Transaction Date,Transaction Amount
48b67630-2b78-11ec-ac84-77607720a240,QmVCKtf7bbnaL87wc6tH87vLtEA7Vo6zZPAUZ2q2xygopk,0x78a6c93ce98dbdbd4ec0d1f6db17de9a6a4ae96e,Creator Onboarding Program aligning with Values of DCL community,enacted,2021-10-12T16:20:00.764Z,2021-10-19T16:20:00.764Z,1000000,6178663.908451845,Community,Tier 3,5000,0x78a6C93cE98DBDBD4EC0D1f6Db17DE9a6A4Ae96E,[object Object],0x87074d88a6C6F7763f158C617da2e7fc16FA7Ee0,0,6666.66666667,6666.66666667,6666.66666667,Tue Oct 19 2021 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Jan 17 2022 00:00:00 GMT+0000 (Coordinated Universal Time),,,
6e28fee0-206c-11ec-ac84-77607720a240,Qmckt8vuKhxHcPYSW4rvWxCSvr34oNQpU6mmYi1mbedD6a,0xfe91c0c482e09600f2d1dbca10fd705bc6de60bc,Decentraland Snap - Become a virtual photographer,enacted,2021-09-28T14:57:00.839Z,2021-10-05T14:57:00.839Z,1000000,1498809.8047019017,Gaming,Tier 3,5000,0x1a1792286a870d6630a80C924B39E37eD6618082,[object Object],0xfF06369c25CCBea0d22E480B38F59e23e77D1F9C,6666.66666667,0,0,6666.66666667,Tue Oct 05 2021 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Jan 03 2022 00:00:00 GMT+0000 (Coordinated Universal Time),,,
f9d7ab30-1e5f-11ec-ac84-77607720a240,QmbJ9RDmKZUy6uGuT9mP1SvPNxdZE6FWAwvc9oAJL9fcd1,0xa4244f6711052752e6bb0271bf17c756e6598406,Creating 1/1 Reporter Jackets for Decentraland Reporters,enacted,2021-09-26T00:23:00.403Z,2021-10-03T00:23:00.403Z,1000000,1185992.2502601345,Content Creator,Tier 3,5000,0xa4244F6711052752E6Bb0271Bf17c756E6598406,[object Object],0x162047b5d8E6a6436323daD716438574755985eC,6666.66666667,0,0,6666.66666667,Sat Oct 02 2021 00:00:00 GMT+0000 (Coordinated Universal Time),Fri Dec 31 2021 00:00:00 GMT+0000 (Coordinated Universal Time),,,
04646b90-09ea-11ec-a5a8-05cb7ba30f57,QmdFft857eiwV1fvoAhU1Mz948vtjVmxsHGtPfjVkPFbWt,0x66aa8bee5366b6b48811ae0dac9fe5e1eefe1621,BEN Decentraland Intercollegiate Meta-Delegate,rejected,2021-08-30T23:28:00.233Z,2021-09-06T23:28:00.233Z,1000000,377539.03648722,Community,Tier 3,5000,0x66Aa8Bee5366b6b48811AE0Dac9Fe5e1EEfE1621,,,,,,,,,,,
f0a4e0d0-09e9-11ec-a5a8-05cb7ba30f57,QmZwoCDBiNqWegu9GpAosXXJSQQCv5VfQpGPKpWHewNf9u,0x66aa8bee5366b6b48811ae0dac9fe5e1eefe1621,BEN Decentraland Intercollegiate Meta-Delegate,rejected,2021-08-30T23:28:00.101Z,2021-09-06T23:28:00.101Z,1000000,233805.85363352927,Community,Tier 3,5000,0x66Aa8Bee5366b6b48811AE0Dac9Fe5e1EEfE1621,,,,,,,,,,,
b9bf0ba0-09a2-11ec-a4d1-8d5d2cba0825,QmPo1ew28de9woHXEfkwhQN4Z5yT4VjUqZx2M8LSaybxF5,0x9405cf5bde70bb78c0ddf1425aed6a2f110fc733,Help us finish our music district and virutal record store.,enacted,2021-08-30T14:58:00.731Z,2021-09-06T14:58:00.731Z,1000000,1686083.4883493325,Content Creator,Tier 3,5000,0x9405cF5BDe70bB78c0dDF1425AEd6A2f110fC733,[object Object],0xa79f1945aCc6121232B41Aec8B5F256D2A14a4ef,4950.4950495,0,0,4950.4950495,Mon Sep 06 2021 00:00:00 GMT+0000 (Coordinated Universal Time),Sun Dec 05 2021 00:00:00 GMT+0000 (Coordinated Universal Time),,,
4c2cfc90-08cc-11ec-a4d1-8d5d2cba0825,QmPNqUtchZbfJayzmV3EGpzrUUwTwqg7SHLjiDQMvTxVeW,0x07356b0edf9b934330f41952b09d076c3810c608,Funding for clothing for my next event.,rejected,2021-08-29T13:23:00.601Z,2021-09-05T13:23:00.601Z,1000000,569102.5823794827,Content Creator,Tier 2,3000,0x07356B0edF9b934330F41952B09D076C3810C608,,,,,,,,,,,
f97ebc10-0450-11ec-bf2e-8bc0e796957b,QmUTQNfA9fNC9CLFAZuH11e9rrJzgS2CZyHEkRZ3NPe6Ai,0xa4244f6711052752e6bb0271bf17c756e6598406,Continue Video Editor for The Decentraland Report,enacted,2021-08-23T20:30:00.138Z,2021-08-30T20:30:00.138Z,1000000,1593821.6199885113,Content Creator,Tier 2,1800,0xa4244F6711052752E6Bb0271Bf17c756E6598406,[object Object],,,,,,,,0xca8ff8f79ab831aec93fee96eef581133b17d242060998af2f5d76c09076818c,2021-09-20T21:31:53Z,1782.17821782
9fc81d10-02de-11ec-bf2e-8bc0e796957b,QmT2N2v1b338W5JP92sBu6nZsCCBkEkvNzRdBrkNzhgYDQ,0x9405cf5bde70bb78c0ddf1425aed6a2f110fc733,Take our music focused district and virtual record store to the next level,rejected,2021-08-22T00:19:00.833Z,2021-08-29T00:19:00.833Z,1000000,271360.0798327337,Content Creator,Tier 3,5000,0x9405cF5BDe70bB78c0dDF1425AEd6A2f110fC733,,,,,,,,,,,
e1c99a80-f565-11eb-ab97-bfa89f33c258,QmX75jQxx4AFXwruzZn4PK5o9iaheHxAwdtnmY3dwUsped,0xe6d503b3ab9565560c3a6a6881d79ba29590f99f,The in-world DAO governance forum,enacted,2021-08-04T20:52:00.353Z,2021-08-11T20:52:00.353Z,1000000,2389215.4942822875,Content Creator,Tier 2,3000,0x17fca813c5d9eEFD6197C00bAF8B464d0f0f403f,[object Object],,,,,,,,0x5d23494fc1e9d73717930b2a0d9e03453b4075a0f4ef6081a51e492d2bee79fc,2021-08-16T09:03:34Z,3825
