Proposal ID,Project ID,Snapshot ID,Author,Title,Type,Status,Started,Ended,Threshold,Total VP,Category,Tier,Amount USD,Beneficiary,Token,Enacting Transaction,Transaction Date,Transaction Amount,Done Updates,Late Updates,Missed Updates,Update Status,Project Health,Last Update,Next Update,Pending Updates
13e979f0-27dc-11ed-ac99-5bece7edccd0,9e46079c-051c-4be0-a4cf-5d79f8fad37c,bafkreiabe5kebce6dm2yxbesjgjjaz6tskbkw5a42a2f7wlbcpsuqac2qq,0xc24789c6f165329290ddd3fbeac3b6842a294003,Community Module: Solitaire,grant,enacted,2022-08-29T20:49:00.871Z,2022-09-05T20:49:00.869Z,1000000,1035402.6330863028,Gaming,Tier 2,3000,0xC24789C6f165329290Ddd3fBEac3b6842a294003,MANA,0x45a095277445c5c93aa6113ad83727ce79a32f3dad3592305864c5d6abf45c3e,2022-09-14T15:19:55Z,4000,1,0,0,done,onTrack,2022-09-12T22:08:38.095Z,,0
0c0fbc20-25cb-11ed-ac99-5bece7edccd0,9e7266de-746d-49b0-9c9f-816893a76d12,bafkreia4smcmootpyaoei6z7f56eiz6e6bhi45bhyiinpunsktcmdhnz6a,0x017fbadca2dbc267bb046624f23831662a6fd718,Butterfly Prawn Farm,grant,enacted,2022-08-27T05:42:00.930Z,2022-09-10T05:42:00.929Z,4000000,6428065.018996816,Gaming,Tier 5,120000,0x017fBaDCA2Dbc267Bb046624F23831662A6Fd718,,,,,6,0,0,done,onTrack,2023-03-07T15:44:58.521Z,,0
0f9a4300-23c9-11ed-b4a9-178eb7bc02f5,d233a938-2a8e-40ea-8957-e44c6f5c6ca7,bafkreigbwwa4ixdl6l3ezyha4uma76pkyv7rwih3awtakuxpshy6suxp4i,0xc3e3d13d98b84e1808c4145355c0cade20a2fc98,An Immersive In-World Marketplace Proposal,grant,enacted,2022-08-24T16:23:00.552Z,2022-09-07T16:23:00.550Z,8000000,13094984.612918315,Content Creator,Tier 6,240000,0x5F2ABE4d5313D6818e1eecEF8cCD172217e07e05,,,,,3,0,3,done,onTrack,2023-03-07T00:29:55.877Z,,3
56e0a3b0-2303-11ed-b4a9-178eb7bc02f5,e47096c6-6ecf-4aa5-9196-b3e6ab3e07ce,bafkreidgglkakp5xrnynuly4kxs4rcvdxudlww7mmdarcc53u7q3oiaifq,0xeb0b44525df3de89c7d915d6728c6404e65253e9,Decentral Comedy Promo at Skankfest Vegas/Backstage Access to Skankfest for DCL,grant,enacted,2022-08-23T16:47:00.779Z,2022-09-06T16:47:00.779Z,4000000,8453862.478718163,Content Creator,Tier 5,88500,0x20D9838616659e174d4937eE9E7738c032c3a881,,,,,5,0,3,done,onTrack,2023-05-03T16:53:04.235Z,,3
42cc9f20-2239-11ed-b4a9-178eb7bc02f5,37bb0bf5-96a1-4fd0-8194-dec96a7ea6c4,bafkreiax3kr3nuchcpxlzt2ydft73lyiyh2c7vgvbqsgwrp7uivzu4tsnq,0x65813baedfd68029af5382672b0e4dd2e6f27952,DCL Closet - Advanced Backpack Features,grant,enacted,2022-08-22T16:41:00.754Z,2022-09-05T16:41:00.753Z,2000000,3486955.5806017253,Platform Contributor,Tier 4,25000,0x65813BaeDfD68029af5382672b0e4Dd2E6f27952,,,,,3,2,1,done,onTrack,2023-02-06T14:00:59.411Z,,1
1c31fb10-2119-11ed-b4a9-178eb7bc02f5,7ce5872e-829a-4564-b6b3-e4423908be1f,bafkreia65x4v5k6bdtfy2yof5v3wue2b7h7m6okshfg4upptaq4sok7zmq,0x09bc69a986e1b37fb01ef36124f4c2e14fa0ab6b,Royalty-free audio clip library for land builders in Decentraland,grant,enacted,2022-08-21T06:18:00.930Z,2022-08-28T06:18:00.928Z,1000000,3626363.90732643,Content Creator,Tier 3,4569,0x09bc69A986e1b37fB01EF36124f4c2E14fA0ab6B,,,,,2,1,0,done,onTrack,2022-11-28T03:40:19.676Z,,0
a70d0a50-1e75-11ed-9342-4f244be49f84,3e61c74e-d4c3-4fb2-885b-9ab3e80354ed,bafkreigz46ke2q555u5wrzpos2u2xtok57vviajlhjdwzlnjtb5ox4r43u,0x8b7c37671f37db95e9d84714f7a4464d552aa0ea,Decentraland IRL Meetup at MCON 2022,grant,enacted,2022-08-17T21:43:00.101Z,2022-08-24T21:43:00.100Z,1000000,2396301.8130522976,Community,Tier 2,3000,0x8b7c37671f37Db95e9d84714f7A4464d552aa0EA,MANA,0xf7e64f4504174f40e5ddd589c28f218fd99bd6214f3014dba2d87727fecaf63e,2022-08-27T02:41:54Z,3750,1,0,0,done,onTrack,2022-12-13T17:17:16.374Z,,0
0c233e00-18ef-11ed-96c7-2fa07c6df25b,a294e654-0f47-40b2-8a3b-572487f32f69,bafkreiduxzkv2b5i23fxpw5pslywmiy6ieuppsq3ddc54d7r3s4rjsm3re,0x29519122d08771ca4c83c8e3fa981df18721f76d,[Resubmission] Easy Land Renting - Lands for everyone! [+5% to DAO per sale],grant,enacted,2022-08-10T20:57:00.824Z,2022-08-24T20:57:00.823Z,2000000,3150920.4586951686,Platform Contributor,Tier 4,22500,0x29519122d08771Ca4c83C8E3Fa981Df18721f76D,,,,,4,0,2,done,atRisk,2022-12-23T16:54:40.240Z,,2
18c27260-17fb-11ed-affb-95d45c2147f8,4ffe6223-6784-455b-bcdc-e68fb01f9cfd,bafkreifwzkm7goar2ouxriohf7cenmr65vzd6lfjeddkis34bsf3kjcxra,0xc82fd31500576f394b59be3b10c154b584ea6004,"SinfulMeatStick - Community Building, Onboarding, Education, and Growth",grant,enacted,2022-08-09T15:51:00.798Z,2022-08-23T15:51:00.797Z,2000000,4379554.275213697,Community,Tier 4,60000,0x876D9Bb007Ec7795C5bF887832220b5B43Cc9cFb,,,,,6,0,3,done,onTrack,2023-07-24T17:15:09.021Z,,3
ac2b57f0-12ac-11ed-affb-95d45c2147f8,b4177a7d-9769-42a5-8308-9574f91770c4,bafkreihwwjnydjirhlcvqrve6e2jhowix5xcx25y65zwv7invn54vcjl2q,0x895be97bdb9f8a244c472b18ea96dee39ddf8fe5,Provide fundamental Decentraland metrics  to the community for free,grant,enacted,2022-08-02T21:47:00.055Z,2022-08-16T21:47:00.054Z,2000000,3671638.959246311,Community,Tier 4,48000,0x895Be97bDb9F8a244c472B18EA96DeE39ddf8fe5,,,,,8,0,0,done,onTrack,2023-07-17T17:03:38.241Z,,0
eca738b0-1119-11ed-affb-95d45c2147f8,527708b7-bba9-43de-96b5-4fa902a5df44,bafkreicd73rq4tjjqoylrl6tavpezsctsdlckaikskxtrb5iflpo7pi5yy,0x333f2ba1e49bcea8b1ad9f0d5083df596896cbed,Creation of quality content for the Spanish-speaking community,grant,enacted,2022-07-31T21:44:00.059Z,2022-08-07T21:44:00.058Z,1000000,2337365.9290789915,Content Creator,Tier 2,2000,0x333F2ba1e49BcEA8B1Ad9F0d5083df596896cBED,MANA,0x805f395630fbdbe319ac184b9354eab42f5b7ffd35a362c40ffba7a8cbe1cc32,2022-08-09T13:45:59Z,1905,2,0,0,done,onTrack,2022-10-31T23:07:18.940Z,,0
