Date,Wallet,Network,Type,Tag,Amount,Token,USD Amount,USD Fee,Sender,Transfer From,Transfer To,Block,Hash,Contract
2020-12-31,Aragon Agent,Ethereum,IN,ETH Marketplace,50,MANA,3.9173979361782343,0,0x23be90335e79d3245615985d91f69814f98a0fab,0x23be90335e79d3245615985d91f69814f98a0fab,0x9a6ebe7e2a7722f8200d0ffb63a1f6406a0d7dce,11559030,0xfeb50b46f2ea7f700c379a2445829b73e964e54c7276c9557ac7326afd1bca32,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
2020-12-31,Aragon Agent,Ethereum,IN,ETH Marketplace,300,MANA,23.50438761706941,0,0x47d265f64a99b92aae25adf95429eb52c31f94b7,0x47d265f64a99b92aae25adf95429eb52c31f94b7,0x9a6ebe7e2a7722f8200d0ffb63a1f6406a0d7dce,11562162,0x04dc1f1a09b44b96ae982b4a2720e1536d073296e160ac67479e576140304a0d,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
2020-12-31,Aragon Agent,Ethereum,IN,ETH Marketplace,7249.975,MANA,568.020742046876,0,0x3e099af007cab8233d44782d8e6fe80fecdc321e,0x3e099af007cab8233d44782d8e6fe80fecdc321e,0x9a6ebe7e2a7722f8200d0ffb63a1f6406a0d7dce,11563745,0xfeed7e4d504f484e93847361b92648f25300d8705c90b5eb0d218e90921a067c,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
2020-12-31,Aragon Agent,Ethereum,IN,ETH Marketplace,550,MANA,43.09137729796058,0,0x81e4fb0c64bf49f89b57f6648562fc9a791b2e92,0x81e4fb0c64bf49f89b57f6648562fc9a791b2e92,0x9a6ebe7e2a7722f8200d0ffb63a1f6406a0d7dce,11563980,0xfba8b602d9f179962212b3366b6e1998b28c47ce17ff996aa15e28efdb8827a0,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
2020-12-31,Aragon Agent,Ethereum,IN,ETH Marketplace,499.25,MANA,39.11521839273967,0,0x9b4f364d59a543e6755d38c1073e6bb81e5eadc0,0x9b4f364d59a543e6755d38c1073e6bb81e5eadc0,0x9a6ebe7e2a7722f8200d0ffb63a1f6406a0d7dce,11564028,0x2554f5739ca939b2a59646071df0c71ba0d95a78c100eaf91bbc0755d473de1a,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
2020-12-31,Aragon Agent,Ethereum,IN,ETH Marketplace,2.5,MANA,0.19586989680891173,0,0x9b4f364d59a543e6755d38c1073e6bb81e5eadc0,0x9b4f364d59a543e6755d38c1073e6bb81e5eadc0,0x9a6ebe7e2a7722f8200d0ffb63a1f6406a0d7dce,11564352,0x24676b7ff16c94f32d3df7319c84c308b5c3f6c508b82d749a37d5b69f54ed83,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
2020-12-31,Aragon Agent,Ethereum,IN,ETH Marketplace,2.5,MANA,0.19586989680891173,0,0x9b4f364d59a543e6755d38c1073e6bb81e5eadc0,0x9b4f364d59a543e6755d38c1073e6bb81e5eadc0,0x9a6ebe7e2a7722f8200d0ffb63a1f6406a0d7dce,11564352,0x74c81021d2eff534840ebe0a7cae114ab3c556e5d4d057d1fb3287321db5fac6,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
2020-12-31,Aragon Agent,Ethereum,IN,ETH Marketplace,5,MANA,0.39173979361782346,0,0x9b4f364d59a543e6755d38c1073e6bb81e5eadc0,0x9b4f364d59a543e6755d38c1073e6bb81e5eadc0,0x9a6ebe7e2a7722f8200d0ffb63a1f6406a0d7dce,11564355,0x42dbd9ec1c9fbfb727bf39bccb18c46f95cd14c8ce3f70a9d3bfc13b134d851c,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
2020-12-31,Aragon Agent,Ethereum,IN,ETH Marketplace,20,MANA,1.5669591744712938,0,0x9b4f364d59a543e6755d38c1073e6bb81e5eadc0,0x9b4f364d59a543e6755d38c1073e6bb81e5eadc0,0x9a6ebe7e2a7722f8200d0ffb63a1f6406a0d7dce,11564397,0x8193917b3e2d1009e22041adab4ca34ca38f52cbfdebb8834bbed51f1fd55f43,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
2020-12-31,Aragon Agent,Ethereum,IN,ETH Marketplace,18.725,MANA,1.467065527098749,0,0x9b4f364d59a543e6755d38c1073e6bb81e5eadc0,0x9b4f364d59a543e6755d38c1073e6bb81e5eadc0,0x9a6ebe7e2a7722f8200d0ffb63a1f6406a0d7dce,11564397,0x798b824340035623ea0ec6380aecdcdb78da35a95d7cfb240a33b2992e29ae88,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
