Date,Wallet,Network,Type,Tag,Amount,Token,USD Amount,USD Fee,Sender,Transfer From,Transfer To,Block,Hash,Contract
2022-07-21T15:27:33Z,DAO Committee,Polygon,IN,OpenSea,0.125,DAI,0.125,0.032063816756173896,0xf715beb51ec8f63317d66f491e37e7bb048fcc2d,0xf715beb51ec8f63317d66f491e37e7bb048fcc2d,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,30979577,0x310a74a2390ffaec3d1acb26ad7ca9741db2f1f4c4cfc4fe77692852e182b018,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063
2022-05-19T07:48:01Z,DAO Committee,Polygon,IN,OpenSea,0.05,DAI,0.05,0.023288425502460238,0xf715beb51ec8f63317d66f491e37e7bb048fcc2d,0xf715beb51ec8f63317d66f491e37e7bb048fcc2d,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,28500298,0xeca178b6c9dd93e469b0b6645c9712c8a37e1df8119266e46800e4dd7330a733,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063
2022-04-23T09:28:09Z,DAO Committee,Polygon,IN,OpenSea,1.35,DAI,1.35,0.05434421873884678,0xf715beb51ec8f63317d66f491e37e7bb048fcc2d,0xf715beb51ec8f63317d66f491e37e7bb048fcc2d,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,27476232,0xd3447b6a88d9276eb745f0987965462f2e2c53d50ce8ed271721465b97e893d9,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063
2022-04-19T21:41:06Z,DAO Committee,Polygon,IN,OpenSea,0.08325,DAI,0.08325,0.06729775924581051,0xf715beb51ec8f63317d66f491e37e7bb048fcc2d,0xf715beb51ec8f63317d66f491e37e7bb048fcc2d,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,27338651,0x87ee5cc427b37fc5a337c578c33785e479b932e730cbc40dec81a8a6f7e23ac8,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063
2022-04-19T21:38:54Z,DAO Committee,Polygon,IN,OpenSea,0.125,DAI,0.125,0.04894656633228302,0xf715beb51ec8f63317d66f491e37e7bb048fcc2d,0xf715beb51ec8f63317d66f491e37e7bb048fcc2d,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,27338587,0x0ca01c03d8ee28fc3e165417151bd15cf48276b4cfb2105ae97b3f032896e074,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063
2022-04-19T21:37:22Z,DAO Committee,Polygon,IN,OpenSea,0.0625,DAI,0.0625,0.04514851160683584,0xf715beb51ec8f63317d66f491e37e7bb048fcc2d,0xf715beb51ec8f63317d66f491e37e7bb048fcc2d,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,27338543,0x9be24e70781a34fbccc26627355e3092e42c79fb9239e3dc77bd53f7f0f833de,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063
2022-04-19T21:35:56Z,DAO Committee,Polygon,IN,OpenSea,0.05,DAI,0.05,0.038295071086873814,0xf715beb51ec8f63317d66f491e37e7bb048fcc2d,0xf715beb51ec8f63317d66f491e37e7bb048fcc2d,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,27338500,0x18d83fbf7dcb32a163a81e81ac9a1d3181b621e61a36f259e9e189ee5c638223,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063
2022-04-19T21:35:00Z,DAO Committee,Polygon,IN,OpenSea,0.125,DAI,0.125,0.03694148045875149,0xf715beb51ec8f63317d66f491e37e7bb048fcc2d,0xf715beb51ec8f63317d66f491e37e7bb048fcc2d,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,27338474,0x2e99be8899381eeb4bdc4d48d9871b81c9fb777aba1ae8f3d227e6a829b7a43b,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063
2022-04-19T19:20:52Z,DAO Committee,Polygon,IN,OpenSea,0.125,DAI,0.125,0.0973803443175148,0xf715beb51ec8f63317d66f491e37e7bb048fcc2d,0xf715beb51ec8f63317d66f491e37e7bb048fcc2d,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,27334721,0x9dfd3cd06a7aeeb872a25f35edef16414b68fd895e1da5af547a18023107ca9a,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063
2022-04-18T18:59:02Z,DAO Committee,Polygon,IN,OpenSea,0.05,DAI,0.05,0.10119467677361482,0xf715beb51ec8f63317d66f491e37e7bb048fcc2d,0xf715beb51ec8f63317d66f491e37e7bb048fcc2d,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,27295068,0x29a1f7400b264547e605c3ff6e56bce34d427b63e9913701151a5688c16d6ecf,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063
