Date,Wallet,Network,Type,Tag,Amount,Token,USD Amount,USD Fee,Sender,Transfer From,Transfer To,Block,Hash,Contract
2024-02-28T18:05:20Z,DAO Committee,Polygon,IN,MATIC Marketplace,0.24975,MANA,0.14760225,0.12914323686386855,0x9f6f58e28f85352e158c23b9179fa79f5b588db0,0x9f6f58e28f85352e158c23b9179fa79f5b588db0,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,54067337,0x78801fa6232c830d9e00c5001e37cc112a7177091c38bcf56c77627654f2ff61,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2024-02-28T13:51:40Z,DAO Committee,Polygon,IN,MATIC Marketplace,0.025,MANA,0.014775,0.04863970265962367,0x0da24951ff95603fa424850c732c91cb1159cd44,0x0da24951ff95603fa424850c732c91cb1159cd44,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,54060408,0x178fe63703aa030d87722d10e9969f2909011d9514b07435219bf1e6c9b2272d,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2024-02-28T12:59:17Z,DAO Committee,Polygon,IN,MATIC Marketplace,0.025,MANA,0.014775,0.0274414639176293,0x3f6b1d01b6823ab235fc343069b62b6472774cd1,0x3f6b1d01b6823ab235fc343069b62b6472774cd1,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,54058969,0x70b12234cccc7ef7523aa8645781d6697ed3ff19864c1fc3ec9217c4ec1f7900,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2024-02-28T12:54:57Z,DAO Committee,Polygon,IN,MATIC Marketplace,0.025,MANA,0.014775,0.036026020836326944,0x3f6b1d01b6823ab235fc343069b62b6472774cd1,0x3f6b1d01b6823ab235fc343069b62b6472774cd1,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,54058847,0x8ac4863c4f0d4dd5fd936856821b91a37b5ac7db9a05e78f57c2f394707486c3,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2024-02-28T11:37:32Z,DAO Committee,Polygon,IN,MATIC Marketplace,1,MANA,0.591,0.040373122508504444,0x8b4221b34efeb8f4ba874cf07d7f6c456c5cc347,0x8b4221b34efeb8f4ba874cf07d7f6c456c5cc347,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,54056706,0xc65f24f0d162175613d3b1912535785425e7a2c83eb81f8e786988745ab6465d,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2024-02-28T11:26:35Z,Aragon Agent,Ethereum,IN,OTHER,100,MANA,59.099999999999994,55.62084808150028,0x8cd81e14cd612fb5dab211a837b6f9ce191ad758,0x8cd81e14cd612fb5dab211a837b6f9ce191ad758,0x9a6ebe7e2a7722f8200d0ffb63a1f6406a0d7dce,19325722,0xf39cde8fa961ab1fa706cdcebb9a139a0a5cc70296a0fb0ba309f79f0c4c07e7,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
2024-02-28T04:31:18Z,DAO Committee,Polygon,IN,MATIC Marketplace,0.15,MANA,0.08549999999999999,0.023362003662825776,0x3ea8147dabfe6818b0f8c1f8d756f4ad20321a65,0x3ea8147dabfe6818b0f8c1f8d756f4ad20321a65,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,54044840,0x7a129f341bec2cf216b077589c60a5738fe777cea06f53703761e0f2cbe53bfd,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2024-02-28T04:30:12Z,DAO Committee,Polygon,IN,MATIC Marketplace,0.15,MANA,0.08549999999999999,0.025750997503412375,0x3ea8147dabfe6818b0f8c1f8d756f4ad20321a65,0x3ea8147dabfe6818b0f8c1f8d756f4ad20321a65,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,54044809,0xbf66658c02dbf436c1be14265ce860810bec3989d98fb533f57eff9a75db46b1,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2024-02-28T00:35:18Z,DAO Committee,Polygon,IN,MATIC Marketplace,0.875,MANA,0.49874999999999997,0.03868311649648231,0x8b11cc87ba28c0cb0767e1fecc799e0184a07b9d,0x8b11cc87ba28c0cb0767e1fecc799e0184a07b9d,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,54038816,0xbc6c69cab8dd125940dca7ab6bfb55ebac492a71c7736689f5600d8771ee7acc,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2024-02-28T00:33:35Z,DAO Committee,Polygon,IN,MATIC Marketplace,0.39975,MANA,0.2278575,0.05296312550340663,0x8b11cc87ba28c0cb0767e1fecc799e0184a07b9d,0x8b11cc87ba28c0cb0767e1fecc799e0184a07b9d,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,54038768,0xf15987ecdedeb08e3912e6fb3e1b6796f54c389a052147cd5733b9657f320aca,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2024-02-28T00:32:31Z,DAO Committee,Polygon,IN,MATIC Marketplace,3.75,MANA,2.1374999999999997,0.04163299624292131,0x29fb0d1b0836f9963f963b0bb07c49d2d61370b4,0x29fb0d1b0836f9963f963b0bb07c49d2d61370b4,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,54038752,0xf0ca94544ef5a76e5c4e7d3dba047053eb336d5744c89a7db43df284834b1605,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2024-02-27T18:33:57Z,DAO Committee,Polygon,IN,MATIC Marketplace,0.375,MANA,0.21375,0.02383894193153226,0x3faacc4e4287b82ccc1ca40adab0fc49a380b7ab,0x3faacc4e4287b82ccc1ca40adab0fc49a380b7ab,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,54029440,0xd802f350c2735ac402d78389546f5565a18adbebd462077e6ef2a5b0c4a7fc5b,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2024-02-27T14:16:44Z,DAO Committee,Polygon,IN,MATIC Marketplace,0.625,MANA,0.35624999999999996,0.026873558282278224,0x3a55404f3b6b40876512fe612711e76d3714f49b,0x3a55404f3b6b40876512fe612711e76d3714f49b,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,54022289,0x058b89d9b6ec201f8ee3be81f42388816047348de8af89545556008bde05b49b,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2024-02-27T09:25:03Z,DAO Committee,Polygon,IN,MATIC Marketplace,0.625,MANA,0.335,0.03174902088275026,0x29fb0d1b0836f9963f963b0bb07c49d2d61370b4,0x29fb0d1b0836f9963f963b0bb07c49d2d61370b4,0xb08e3e7cc815213304d884c88ca476ebc50eaab2,54014112,0xb99bc40d26d5bfbd0f03d3d129a1711a34c0d02d382051f04f177a0a84998a4c,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
2024-02-27T07:13:47Z,Aragon Agent,Ethereum,IN,Secondary Sale :: LAND fee,31,MANA,16.616,22.03179502980825,0xc50c4d2e0bb38aacb51d097a3760821f072ae398,0xc50c4d2e0bb38aacb51d097a3760821f072ae398,0x9a6ebe7e2a7722f8200d0ffb63a1f6406a0d7dce,19317324,0x4366d9180eddf243ffc7bda325d55ecf8d8003651dc7fe5ddecfae91e31a943b,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
2024-02-27T05:55:35Z,Aragon Agent,Ethereum,IN,Secondary Sale :: LAND fee,31,MANA,16.616,21.552940177551214,0x2331ada8b291abaf88b651a9a8e24c8ae4438621,0x2331ada8b291abaf88b651a9a8e24c8ae4438621,0x9a6ebe7e2a7722f8200d0ffb63a1f6406a0d7dce,19316935,0x8f6c1ed838d66afbf4dfa18134cafaebad121c153de5f68edc6431fa658c7b12,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
2024-02-27T05:54:35Z,Aragon Agent,Ethereum,IN,Secondary Sale :: LAND fee,29.35,MANA,15.731600000000002,23.062897471975262,0x2331ada8b291abaf88b651a9a8e24c8ae4438621,0x2331ada8b291abaf88b651a9a8e24c8ae4438621,0x9a6ebe7e2a7722f8200d0ffb63a1f6406a0d7dce,19316930,0x06a02879099c8fd25fb79992bed6b0d61ece58f81b1c66495179b54c33eed1ff,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
2024-02-27T05:53:23Z,Aragon Agent,Ethereum,IN,Secondary Sale :: LAND fee,29.35,MANA,15.731600000000002,24.738743027854525,0x2331ada8b291abaf88b651a9a8e24c8ae4438621,0x2331ada8b291abaf88b651a9a8e24c8ae4438621,0x9a6ebe7e2a7722f8200d0ffb63a1f6406a0d7dce,19316924,0x7870aa678db7b7887e46b687b5ba3437361a379dad4c2d9c3a7ea042e83fa7df,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
