Member,Total VP,MANA VP,LAND VP,NAMES VP,Delegated VP,L1 Wearables VP,Rental VP,Has Delegated,Delegate,Has Delegators,Delegators Amount,Delegators,Avatar Preview
0xe2b6024873d218b2e83b462d3658d8d7c3f55a18,19654.736827405257,9244.736827405257,8000,100,0,2310,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0xe2b6024873d218b2e83b462d3658d8d7c3f55a18
0x8cff6832174091dae86f0244e3fd92d4ced2fe07,3502.1165037708906,942.1165037708906,0,1300,0,1260,0,true,0x87956abc4078a0cc3b89b419928b857b8af826ed,false,0,,https://wearable-preview.decentraland.org/?profile=0x8cff6832174091dae86f0244e3fd92d4ced2fe07
0xe2cfeab2beba9a7f09fd981f13e84df1e9978a5e,200,0,0,200,0,0,0,true,0x76ea7a29d0ead7cac2627866b814382e362bee7e,false,0,,https://wearable-preview.decentraland.org/?profile=0xe2cfeab2beba9a7f09fd981f13e84df1e9978a5e
0x6caa802c6895ecd31601518c7f6b9ef6f9349238,107806.00583537338,1108.0058353733832,0,600,102000,4098,0,false,,true,1,0x6bb256edc35896a467e2fa9cd4a993b84cc9169b,https://wearable-preview.decentraland.org/?profile=0x6caa802c6895ecd31601518c7f6b9ef6f9349238
0xf21e83d823255c855481c169d1fb64539b8d1171,25,20,0,0,0,5,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0xf21e83d823255c855481c169d1fb64539b8d1171
0x97898290b90c5c1d03ad38b045c93e09ad0412ee,2400.91675,300.91675,2000,100,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x97898290b90c5c1d03ad38b045c93e09ad0412ee
0x3229511bce285f91ce3c3a6e74152901754ed27c,0,0,0,0,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x3229511bce285f91ce3c3a6e74152901754ed27c
0xbd5b79d53d75497673e699a571afa85492a2cc74,25238.78,21008.78,4000,200,0,30,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0xbd5b79d53d75497673e699a571afa85492a2cc74
0x680ea404ac1201670c20d6b7d5bdbf4a934fa551,4750,2450,2000,300,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x680ea404ac1201670c20d6b7d5bdbf4a934fa551
0x3cb9e515e2452937b501734aa2cc8ea673c28f27,205.07550000000003,0.07550000000003305,0,200,0,5,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x3cb9e515e2452937b501734aa2cc8ea673c28f27
