Record ID,Update ID,Proposal ID,Proposal type,Proposal category,Financial category,Description,Amount,Token,Receiver,Link
70,7e3483f5-3b99-11ee-9496-2daa447e4bf3,7e1d76d0-1a9a-11ee-a5d8-fbedad1981e4,grant,Core Unit,Contractors,Governance Foundation Yearly Mainteinance Costs Refund,215,DAI,0x8c340d83e8a9f51a0cdea69d3eb9f04bf3fc3493,https://etherscan.io/tx/0x858737f30309ab0ade4269bef2a750db69665c7987f389c18c141a239c8aef26
76,0a9317e3-4689-11ee-9cfb-8be6460f98c9,55a85fd0-3539-11ee-a39d-ef9ca9e669fd,grant,Sponsorship,Team Compensation,MetaRyuk Compensation,450,DAI,0x3F6b1D01B6823AB235fc343069B62B6472774Cd1,https://etherscan.io/tx/0xb836c913bcc18281e7db5a89f7d10ce33c31863d574e32fb545efd977a0f3b00
85,fa934c53-5733-11ee-9d11-698f2d12cd46,fdae4090-2db5-11ee-a512-65477fceb1b0,grant,Platform,Contractors,Creativity & Growth Round #1 Compensation,2000,DAI,0x8ab7301c94b7330770959f4013111b1d402736ed,https://etherscan.io/tx/0x6c33dfb9e5ae9cbcd567a7217ea5e99cd05c4ad1ec740a29756c1bf6698d2566
86,fa934c53-5733-11ee-9d11-698f2d12cd46,fdae4090-2db5-11ee-a512-65477fceb1b0,grant,Platform,Contractors,Creativity & Growth Round #1 Compensation,2000,DAI,0x8c452f6f814977df942bf312465db5c9600a87a2,https://etherscan.io/tx/0x178d1ff7fcb582b6884f5c2ae9c24b945d345199172c4ea7b5bcf59c66e5beb7
87,fa934c53-5733-11ee-9d11-698f2d12cd46,fdae4090-2db5-11ee-a512-65477fceb1b0,grant,Platform,Contractors,Creativity & Growth Round #1 Compensation,1500,DAI,0x5dffc103764d035f5045ffb2107d57861ddb7689,https://etherscan.io/tx/0x6f83b53719a13ee966ef9ed007538bd6437c7010991f3c632d6af74db757bebf
88,fa934c53-5733-11ee-9d11-698f2d12cd46,fdae4090-2db5-11ee-a512-65477fceb1b0,grant,Platform,Contractors,Creativity & Growth Round #1 Compensation,2000,DAI,0x74655ae4feb6af3cdee1d12d6a034c8f02901721,https://etherscan.io/tx/0x2b8a97c5f6da3a864a21a4826e9fc24383b9a63bf7a4704b8b99c0ab0546708c
89,fa934c53-5733-11ee-9d11-698f2d12cd46,fdae4090-2db5-11ee-a512-65477fceb1b0,grant,Platform,Contractors,Creativity & Growth Round #1 Compensation,2000,DAI,0x9AD2DfC6f715C66C8dBBF679fdd58b4421CD2d9F,https://etherscan.io/tx/0x7abd2965a3bbd33419a5ecc5ba415fc37da3e25edc8092d73952a9dc2e700ed6
90,fa934c53-5733-11ee-9d11-698f2d12cd46,fdae4090-2db5-11ee-a512-65477fceb1b0,grant,Platform,Contractors,Creativity & Growth Round #1 Compensation,2000,DAI,0x2d83fff2d4ce9f629bd636efccff1662eb206fc4,https://etherscan.io/tx/0x287937c5ea838b04c22bd99c4fce563f3009485df207c1e4c3132befd7f7917e
91,fa934c53-5733-11ee-9d11-698f2d12cd46,fdae4090-2db5-11ee-a512-65477fceb1b0,grant,Platform,Contractors,Creativity & Growth Round #1 Compensation,2000,DAI,0x78227f199d663ae8dc396e65693f2ecc78aa87e5,https://etherscan.io/tx/0xcde3bfa5a585f3ca1e97abc915e0c0a56c4f4502ce92ac0c95bce4067fb84525
92,fa934c53-5733-11ee-9d11-698f2d12cd46,fdae4090-2db5-11ee-a512-65477fceb1b0,grant,Platform,Contractors,Creativity & Growth Round #1 Compensation,2000,DAI,0xb58906cf122b8b1ef15e9eb7539e1b6b0ad050d9,https://etherscan.io/tx/0xc4e507f7d717e0def9333a7e814e6877ea8083ea49296bd8a6f4526615188109
93,fa934c53-5733-11ee-9d11-698f2d12cd46,fdae4090-2db5-11ee-a512-65477fceb1b0,grant,Platform,Contractors,Creativity & Growth Round #1 Compensation,2000,DAI,0xD876275C67809B9F30C90acC17bE0745689478bC,https://etherscan.io/tx/0x2e049d539b44e4f305434d33399762f4b69ad201a8468bdf3b40dcba5a53a4bf
94,fa934c53-5733-11ee-9d11-698f2d12cd46,fdae4090-2db5-11ee-a512-65477fceb1b0,grant,Platform,Contractors,Creativity & Growth Round #1 Compensation,500,DAI,0x7a47b459e778cb50025663b6c031c3867303f6da,https://etherscan.io/tx/0xe09c022c71a4b6be60075a66bc27926a9516950cd2b78b7d46acbe0c33608bbb
